,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
2634,12:03:00,Thursday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Normal
2635,23:25:00,Thursday,Male,Residential areas,Motorcycle,Double carriageway (median),Unknown,Gravel roads,Dry,Darkness - lights lit,Normal
2636,8:38:00,Thursday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2637,8:38:00,Thursday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2638,8:57:00,Tuesday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2640,13:18:00,Thursday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2641,13:18:00,Thursday,Male,Office areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2642,8:30:00,Thursday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2643,8:30:00,Thursday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2645,18:46:00,Friday,Male,Residential areas,Other,Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2646,22:31:00,Wednesday,Female, Church areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2647,22:31:00,Wednesday,Male,Other,Public (13?45 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2648,10:25:00,Wednesday,Male,  Recreational areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Unknown
2650,8:50:00,Tuesday,Male, Industrial areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2651,8:50:00,Tuesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2652,1:00:00,Friday,Male,Other,Lorry (41?100Q),other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
2653,1:00:00,Friday,Male, Church areas,Automobile,other,Y Shape,Other,Wet or damp,Darkness - lights lit,Normal
2654,17:25:00,Wednesday,Male, Church areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2655,17:25:00,Wednesday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2656,20:15:00,Saturday,Female,Other,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2657,20:15:00,Saturday,Male,  Recreational areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2658,7:58:00,Wednesday,Male,Other,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2659,7:58:00,Wednesday,Male,Office areas,Motorcycle,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2661,7:47:00,Wednesday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Crossing,Other,Dry,Daylight,Unknown
2662,7:25:00,Tuesday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2663,7:25:00,Tuesday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2665,17:55:00,Tuesday,Male,Office areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2666,17:55:00,Tuesday,Female,Residential areas,Automobile,other,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2667,1:00:00,Friday,Female,Residential areas,Other,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal
2668,14:15:00,Thursday,Male,Other,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
2669,6:14:00,Friday,Male, Hospital areas,Other,One way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2671,13:25:00,Thursday,Male,Other,Pick up upto 10Q,Undivided Two way,Y Shape,Other,Dry,Daylight,Normal
2672,13:25:00,Thursday,Male,  Recreational areas,Public (13?45 seats),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2673,15:10:00,Thursday,Male,Other,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2674,10:36:00,Tuesday,Male,Other,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2675,10:36:00,Tuesday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2676,13:53:00,Saturday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal
2678,13:23:00,Monday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2679,12:45:00,Saturday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2680,12:45:00,Saturday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2681,9:30:00,Friday,Male, Church areas,Public (13?45 seats),Undivided Two way,Unknown,Asphalt roads,Dry,Daylight,Normal
2682,9:30:00,Friday,Male,Office areas,Automobile,Undivided Two way,Unknown,Earth roads,Dry,Daylight,Normal
2683,17:57:00,Tuesday,Female,School areas,Other,other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
2684,8:40:00,Tuesday,Female,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2685,15:50:00,Tuesday,Female,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2686,23:05:00,Thursday,Male,Residential areas,Automobile,other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2687,22:22:00,Saturday,Male, Industrial areas,Other,One way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2688,19:50:00,Wednesday,Male,Other,Lorry (41?100Q),Undivided Two way,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal
2689,19:50:00,Wednesday,Male,Residential areas,Public (12 seats),Undivided Two way,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal
2690,21:35:00,Saturday,Male,  Recreational areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
2691,17:25:00,Thursday,Female,Office areas,Public (12 seats),other,Crossing,Asphalt roads,Dry,Daylight,Normal
2692,11:45:00,Saturday,Male, Outside rural areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Unknown
2693,11:45:00,Saturday,Male, Outside rural areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Unknown
2694,8:40:00,Tuesday,Male, Outside rural areas,Lorry (41?100Q),Undivided Two way,Y Shape,Gravel roads,Dry,Daylight,Normal
2696,10:00:00,Tuesday,Male, Outside rural areas,Public (> 45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
2697,10:00:00,Tuesday,Male,School areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
2698,19:07:00,Thursday,Male, Outside rural areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2699,19:07:00,Thursday,Male, Outside rural areas,Other,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2700,11:20:00,Friday,Male, Outside rural areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2701,11:20:00,Friday,Unknown, Outside rural areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2702,11:00:00,Wednesday,Male,Office areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2703,5:35:00,Monday,Male, Outside rural areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
2705,17:46:00,Tuesday,Male, Outside rural areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2706,7:00:00,Saturday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2707,7:00:00,Saturday,Female,  Recreational areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2708,15:00:00,Thursday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2710,8:30:00,Monday,Unknown,Residential areas,Ridden horse,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2712,8:22:00,Thursday,Male,Residential areas,Other,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2713,17:30:00,Tuesday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2714,17:30:00,Tuesday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2715,13:23:00,Tuesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2716,2:20:00,Friday,Male,Other,Stationwagen,other,No junction,Other,Dry,Darkness - lights lit,Normal
2718,6:11:00,Sunday,Male, Church areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2719,11:45:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Windy
2720,9:00:00,Thursday,Male,Other,Pick up upto 10Q,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2721,9:00:00,Thursday,Female,Office areas,Taxi,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2723,23:00:00,Thursday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2726,9:07:00,Thursday,Male,Office areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
2729,6:00:00,Saturday,Male,Other,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
2732,13:58:00,Friday,Male,Office areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2733,10:04:00,Thursday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2734,10:04:00,Thursday,Male, Church areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2735,15:30:00,Thursday,Female,Office areas,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2736,9:40:00,Tuesday,Male,Residential areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2737,9:40:00,Tuesday,Male,School areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2738,17:56:00,Wednesday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2739,17:56:00,Wednesday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2740,18:42:00,Thursday,Male,Other,Automobile,Double carriageway (median),Y Shape,Other,Dry,Daylight,Normal
2741,18:42:00,Thursday,Male,Other,Other,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2742,9:00:00,Wednesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2744,8:55:00,Wednesday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2747,18:35:00,Wednesday,Male,Office areas,Automobile,One way,Y Shape,Earth roads,Dry,Daylight,Normal
2750,18:07:00,Tuesday,Male,Other,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2751,18:07:00,Tuesday,Male,Other,Turbo,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2752,13:45:00,Wednesday,Male,Residential areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Unknown
2753,13:45:00,Wednesday,Male,Other,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Unknown
2754,16:24:00,Wednesday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2755,22:20:00,Friday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
2756,10:38:00,Wednesday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2757,10:38:00,Wednesday,Male, Industrial areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2758,10:38:00,Wednesday,Male, Industrial areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2759,10:38:00,Wednesday,Male, Church areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
2760,10:38:00,Wednesday,Male,Other,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2761,10:38:00,Wednesday,Male,Other,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2762,12:10:00,Wednesday,Male,Office areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2763,10:05:00,Wednesday,Male,Office areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2764,8:00:00,Tuesday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2765,8:00:00,Tuesday,Male, Industrial areas,Stationwagen,Undivided Two way,Y Shape,Earth roads,Dry,Daylight,Normal
2766,18:16:00,Tuesday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2767,18:16:00,Tuesday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2768,14:48:00,Wednesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2769,17:38:00,Friday,Female,Residential areas,Stationwagen,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2770,17:38:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2771,17:00:00,Friday,Male,Residential areas,Public (> 45 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2772,17:00:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2773,11:44:00,Thursday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2774,11:44:00,Thursday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2776,19:45:00,Friday,Male, Hospital areas,Lorry (41?100Q),other,Y Shape,Earth roads,Dry,Daylight,Normal
2777,16:58:00,Thursday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2778,16:58:00,Thursday,Male,School areas,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2779,18:41:00,Wednesday,Male,Other,Stationwagen,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2780,18:41:00,Wednesday,Female, Industrial areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2781,20:50:00,Thursday,Male, Church areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2782,20:50:00,Thursday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2783,18:55:00,Thursday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2784,18:55:00,Thursday,Male,Office areas,Public (12 seats),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2785,15:10:00,Sunday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),No junction,Gravel roads,Dry,Daylight,Normal
2786,15:10:00,Sunday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
2787,15:29:00,Monday,Male,Residential areas,Lorry (41?100Q),Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
2789,15:29:00,Monday,Male,Other,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2790,15:29:00,Monday,Male, Industrial areas,Stationwagen,One way,Crossing,Asphalt roads,Dry,Daylight,Normal
2793,6:03:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Raining
2796,10:50:00,Tuesday,Female,Office areas,Other,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2797,19:20:00,Monday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2798,19:20:00,Monday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2799,17:05:00,Monday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2800,12:15:00,Tuesday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2801,12:15:00,Tuesday,Male,  Recreational areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2802,8:35:00,Monday,Female, Church areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2803,8:30:00,Monday,Male,  Recreational areas,Automobile,other,Y Shape,Asphalt roads,Wet or damp,Daylight,Other
2804,8:30:00,Monday,Male,School areas,Public (13?45 seats),other,Y Shape,Asphalt roads,Wet or damp,Daylight,Other
2805,9:10:00,Wednesday,Male, Church areas,Public (13?45 seats),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2807,17:46:00,Wednesday,Male,Residential areas,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2808,17:46:00,Wednesday,Male,Other,Public (12 seats),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2809,8:40:00,Monday,Female,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2810,7:30:00,Monday,Male, Industrial areas,Lorry (41?100Q),One way,No junction,Asphalt roads,Dry,Daylight,Normal
2811,7:30:00,Monday,Female, Church areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
2812,14:15:00,Saturday,Male,Office areas,Other,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2813,14:15:00,Saturday,Female,Office areas,Motorcycle,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2814,21:00:00,Friday,Male,Office areas,Automobile,Double carriageway (median),Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal
2815,21:00:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2816,21:50:00,Wednesday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2817,21:50:00,Wednesday,Male,Other,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2818,12:22:00,Tuesday,Male, Industrial areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Other,Dry,Daylight,Normal
2819,21:55:00,Thursday,Male,Residential areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2820,15:35:00,Saturday,Male,Other,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2821,15:35:00,Saturday,Female,Other,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2822,10:23:00,Wednesday,Male,Other,Lorry (41?100Q),One way,No junction,Asphalt roads,Dry,Daylight,Normal
2823,10:23:00,Wednesday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2825,1:05:00,Saturday,Male,Office areas,Public (12 seats),Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - no lighting,Unknown
2826,9:30:00,Monday,Female,  Recreational areas,Stationwagen,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2827,15:25:00,Saturday,Male,Office areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2828,8:33:00,Saturday,Male, Industrial areas,Automobile,other,Crossing,Asphalt roads,Dry,Daylight,Normal
2830,8:33:00,Saturday,Male,Residential areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2831,8:55:00,Tuesday,Male,Residential areas,Public (13?45 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2832,10:30:00,Saturday,Male, Industrial areas,Public (> 45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
2833,18:20:00,Wednesday,Male,Residential areas,Stationwagen,Undivided Two way,Y Shape,Gravel roads,Dry,Daylight,Unknown
2835,16:00:00,Tuesday,Male,Office areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2836,17:52:00,Saturday,Male,Office areas,Stationwagen,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2837,17:52:00,Saturday,Male,Office areas,Lorry (41?100Q),other,Y Shape,Other,Dry,Daylight,Normal
2838,15:15:00,Friday,Male,Office areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2839,15:15:00,Friday,Male,Office areas,Lorry (41?100Q),One way,Y Shape,Other,Dry,Daylight,Normal
2840,6:16:00,Friday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2841,6:16:00,Friday,Male,Office areas,Stationwagen,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2842,7:45:00,Monday,Male,Residential areas,Automobile,other,Crossing,Asphalt roads,Dry,Daylight,Normal
2843,7:45:00,Monday,Male,Residential areas,Public (> 45 seats),One way,Crossing,Asphalt roads,Dry,Daylight,Normal
2844,17:35:00,Friday,Male,Other,Other,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2845,17:50:00,Friday,Male, Church areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2846,17:50:00,Friday,Male,  Recreational areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
2847,7:05:00,Wednesday,Female, Industrial areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2849,20:21:00,Friday,Male,Residential areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2850,8:05:00,Thursday,Male,Office areas,Pick up upto 10Q,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
2851,8:05:00,Thursday,Male,  Market areas,Public (12 seats),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2852,17:00:00,Sunday,Male,Unknown,Lorry (41?100Q),other,Crossing,Asphalt roads,Dry,Daylight,Normal
2853,17:00:00,Sunday,Male, Industrial areas,Lorry (41?100Q),other,Crossing,Asphalt roads,Dry,Daylight,Normal
2854,8:45:00,Sunday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2855,8:48:00,Wednesday,Male,Residential areas,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2856,9:50:00,Tuesday,Male,Other,Lorry (41?100Q),Undivided Two way,Unknown,Asphalt roads,Dry,Daylight,Normal
2857,9:50:00,Tuesday,Male,Residential areas,Lorry (41?100Q),other,Unknown,Asphalt roads,Dry,Daylight,Normal
2858,12:30:00,Monday,Male,Rural village areas,Motorcycle,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2859,12:30:00,Monday,Male,Rural village areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2860,12:30:00,Monday,Male,Office areas,Ridden horse,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2861,8:38:00,Tuesday,Male,Residential areas,Automobile,Undivided Two way,Crossing,Earth roads,Dry,Daylight,Normal
2862,10:30:00,Monday,Male,Residential areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
2863,10:30:00,Monday,Male, Outside rural areas,Pick up upto 10Q,other,No junction,Asphalt roads,Dry,Daylight,Normal
2864,18:04:00,Saturday,Male,Residential areas,Public (> 45 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2865,18:04:00,Saturday,Male, Church areas,Stationwagen,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2866,7:45:00,Wednesday,Male,Office areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2867,7:45:00,Wednesday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
2868,7:27:00,Tuesday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2869,7:27:00,Tuesday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2870,10:05:00,Monday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2871,14:35:00,Monday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2872,18:43:00,Wednesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Gravel roads,Dry,Daylight,Normal
2873,18:43:00,Wednesday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2874,8:47:00,Wednesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Earth roads,Dry,Daylight,Normal
2875,8:47:00,Wednesday,Male,Other,Taxi,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2876,8:55:00,Monday,Male,Other,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
2877,8:55:00,Monday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2878,13:15:00,Monday,Male, Church areas,Stationwagen,Two-way (divided with broken lines road marking),Crossing,Earth roads,Dry,Daylight,Normal
2879,13:15:00,Monday,Male,Other,Stationwagen,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
